iter	Passed	Remaining
0	0	85
1	1	76
2	2	70
3	2	64
4	3	62
5	3	60
6	4	59
7	5	58
8	5	57
9	6	56
10	6	55
11	7	54
12	8	54
13	8	53
14	9	53
15	9	52
16	10	51
17	11	51
18	11	50
19	12	49
20	13	49
21	13	49
22	14	48
23	15	48
24	15	47
25	16	47
26	17	46
27	18	46
28	18	45
29	19	45
30	19	44
31	20	43
32	21	42
33	21	42
34	22	41
35	23	41
36	23	40
37	24	39
38	25	39
39	25	38
40	26	37
41	26	36
42	27	36
43	27	35
44	28	34
45	29	34
46	30	33
47	30	33
48	31	32
49	32	32
50	32	31
51	33	30
52	33	30
53	34	29
54	35	28
55	35	28
56	36	27
57	37	26
58	38	26
59	38	25
60	39	25
61	40	25
62	41	24
63	42	23
64	43	23
65	44	22
66	45	22
67	46	21
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	51	18
74	52	17
75	52	16
76	53	16
77	54	15
78	55	14
79	55	13
80	56	13
81	56	12
82	57	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	65	4
93	65	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
